グループ ポリシー名,Active Directory ターゲット,MDM サポート,不明な設定,AD でターゲット指定,最終インポート
"ActivexDisable","ActivexDisable","0%","","はい","Fri May 22 2026 17:35:38 GMT+0900 (日本標準時)"
"ActivexEnable","ActivexEnable","0%","","いいえ","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"AutoShareWksDisable","AutoShareWksDisable","0%","","はい","Fri May 22 2026 17:35:38 GMT+0900 (日本標準時)"
"AutoShareWksEnable","AutoShareWksEnable","0%","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"BitlockerSetting","BitlockerSetting","100%","","はい","Fri May 22 2026 16:37:57 GMT+0900 (日本標準時)"
"BitlockerSetting","BitlockerSetting","100%","","はい","Fri May 22 2026 17:35:36 GMT+0900 (日本標準時)"
"BitlockerSetting","BitlockerSetting","100%","","はい","Fri May 22 2026 17:35:39 GMT+0900 (日本標準時)"
"Default Domain Controllers Policy","Default Domain Controllers Policy","54%","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"Default Domain Policy","Default Domain Policy","26%","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"DefenderOff","DefenderOff","0%","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"DefenderOn","DefenderOn","0%","","いいえ","Fri May 22 2026 17:35:38 GMT+0900 (日本標準時)"
"DigitalArtsSSLCert","DigitalArtsSSLCert","ポリシーに設定がありません","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"EdgeBlockExternalExtensions","EdgeBlockExternalExtensions","100%","","はい","Fri May 22 2026 16:37:57 GMT+0900 (日本標準時)"
"EdgeBlockExternalExtensions","EdgeBlockExternalExtensions","100%","","はい","Fri May 22 2026 17:35:36 GMT+0900 (日本標準時)"
"EdgeBlockExternalExtensions","EdgeBlockExternalExtensions","100%","","はい","Fri May 22 2026 17:35:39 GMT+0900 (日本標準時)"
"EdgeIeMode","EdgeIeMode","50%","","はい","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
"EdgeInprivatemodeEnabele","EdgeInprivatemodeEnabele","100%","","いいえ","Fri May 22 2026 17:35:37 GMT+0900 (日本標準時)"
